//Splice recipes (GTWiki parser by mar4ello6)
//Format: itemID(result)|ingredient1|ingredient2
456|335|165
450|445|411
478|383|165
466|383|191
472|383|163
428|433|25
444|59|441
420|413|177
474|383|23
476|5|383
486|25|127
470|383|381
448|377|281
462|383|167
498|612|437
464|383|189
440|57|359
496|329|431
494|487|169
490|429|129
506|283|612
468|383|201
482|25|173
484|25|339
518|612|179
460|433|223
516|612|177
492|485|169
514|612|175
510|612|171
526|433|187
488|429|197
502|111|612
504|612|199
480|383|65
512|612|173
522|612|183
558|327|171
508|613|612
500|23|612
524|193|612
546|325|181
556|165|327
554|485|103
550|309|459
578|13|15
520|612|181
544|173|323
552|483|101
576|439|299
570|327|183
566|179|327
562|327|175
598|61|455
548|179|57
564|177|327
590|551|361
586|361|551
596|261|459
594|555|483
582|361|551
568|327|181
560|327|173
584|361|551
616|612|445
606|377|31
602|63|221
614|249|612
580|13|15
588|551|361
604|261|265
612|219|53
622|187|613
600|571|581
608|479|21
624|195|527
620|439|173
656|187|485
654|117|171
658|651|613
650|109|557
652|173|219
676|197|655
662|225|21
674|165|65
678|559|569
664|329|515
666|333|337
670|175|101
682|299|381
696|5|21
694|3|369
668|667|361
684|439|163
686|61|685
690|671|599
680|337|17
688|557|441
734|623|63
724|665|607
726|331|439
756|759|563
754|177|549
728|359|549
752|261|427
776|607|727
740|183|549
774|555|461
796|441|433
762|687|187
794|433|61
798|433|613
786|423|781
816|689|697
782|197|677
780|173|29
784|689|667
790|567|565
818|127|341
812|263|741
806|741|263
800|787|557
804|263|741
802|741|263
810|263|741
788|681|163
832|851|847
854|437|517
826|263|727
822|179|107
858|13|613
824|441|597
808|263|741
852|607|109
846|193|823
828|263|361
896|863|189
860|61|671
872|301|729
866|825|185
894|861|27
864|625|677
862|621|483
880|17|443
892|607|569
886|13|885
884|377|171
890|129|881
912|825|781
888|171|53
954|847|581
952|399|511
928|777|787
972|61|435
996|857|225
998|623|555
994|655|165
948|461|659
962|655|369
986|25|995
992|741|439
990|683|561
982|335|101
1006|657|181
1034|625|519
1002|823|559
1038|443|997
988|681|127
1026|283|521
1024|999|963
1020|729|1003
1032|515|301
1022|443|485
1046|265|27
1040|1039|13
1052|983|183
1042|1039|21
1028|687|433
1050|553|413
1048|331|287
1116|301|171
1118|283|581
1100|669|973
1104|193|1005
1106|607|973
1112|329|519
1138|1133|1135
1102|855|53
1110|521|329
1156|169|327
1120|169|1157
1126|25|1157
1124|417|833
1158|167|327
1154|621|989
1108|1107|23
1122|963|581
1130|1109|57
1140|377|775
1146|625|165
1144|457|165
1174|21|15
1128|953|485
1142|1111|1113
1160|1155|55
1164|325|741
1256|859|281
1258|323|781
1260|323|781
1266|323|781
1298|1039|997
1262|323|781
1264|323|781
1270|323|781
1316|1131|173
1268|323|781
1314|653|1047
1306|1139|1133
1300|945|457
1338|689|881
1312|1103|193
1302|867|887
1356|11|441
1334|1307|689
1304|103|889
1326|1323|299
1358|169|889
1308|1105|1305
1332|513|283
1322|105|945
1330|1103|1299
1376|547|545
1346|253|1345
1324|1323|1135
1340|185|1113
1352|1165|913
1328|331|855
1342|185|1111
1350|1347|1349
1344|1303|441
1374|823|881
1360|425|419
1372|1309|697
1348|1045|1345
1362|861|955
1386|1327|1325
1370|411|103
1392|1327|185
1368|441|823
1382|253|339
1390|597|757
1388|1327|607
1456|1309|261
1426|171|987
1434|787|989
1420|689|607
1476|301|361
1422|247|549
1432|885|1139
1430|521|1043
1454|873|119
1446|987|1157
1478|301|359
1428|987|175
1452|1423|523
1450|1257|201
1498|833|183
1448|65|1041
1472|777|1449
1516|299|57
1518|445|187
1480|55|511
1468|827|1309
1500|173|833
1502|1357|179
1504|65|185
1556|612|513
1526|1159|665
1520|455|1157
1558|612|515
1522|741|1309
1524|1159|175
1530|597|1537
1554|612|511
1528|623|1539
1566|612|523
1598|1429|741
1564|612|521
1560|612|517
1562|612|519
1616|1421|1619
1594|559|1481
1618|757|759
1590|1611|1613
1592|299|1523
1606|1449|557
1600|1595|219
1604|1451|1133
1610|549|171
1612|549|181
1656|785|1619
1588|285|775
1658|1619|431
1622|1619|429
1632|929|1433
1654|249|559
1608|1161|1155
1650|1647|1555
1652|1647|1563
1696|437|687
1698|437|261
1686|1101|333
1672|829|827
1716|1325|223
1694|437|863
1718|433|285
1690|333|1481
1684|1047|1433
1682|567|973
1706|1521|443
1736|623|681
1702|437|287
1726|199|1049
1700|437|1329
1688|1481|1685
1756|173|167
1730|63|425
1722|513|1323
1724|777|427
1720|127|165
1708|671|1529
1776|1775|1729
1732|417|863
1754|1449|1159
1744|185|327
1766|301|847
1728|419|861
1752|551|1431
1798|1045|1537
1774|333|103
1770|411|199
1762|329|777
1748|1727|1631
1772|339|511
1790|1787|1789
1768|1647|1565
1838|741|167
1802|1113|249
1800|1043|1559
1856|523|1567
1858|1131|171
1846|655|27
1850|1555|1773
1854|1685|1757
1842|1753|511
1840|167|487
1844|435|487
1870|327|191
1852|1685|255
1862|285|431
1860|181|521
1864|1745|581
1848|55|299
1946|1345|1303
1954|433|975
2006|729|1501
2010|1299|741
2014|681|171
2016|681|173
2018|681|175
2004|867|1539
2012|681|165
2026|681|183
2038|2036|2011
2024|681|181
2008|163|249
2020|681|177
2050|2036|1473
2056|2036|2021
2046|481|2038
2022|681|179
2054|2036|1561
2058|2036|2023
2044|2038|1777
2028|681|185
2040|2036|1803
2070|2036|1655
2052|2036|1633
2074|309|1683
2066|1647|2038
2042|1427|2036
2078|309|1683
2048|2038|1531
2064|2038|1301
2060|2036|1871
2090|309|1683
2062|2036|1605
2098|1683|309
2086|309|1683
2080|309|1683
2068|1601|2036
2076|309|1683
2110|1683|309
2092|309|1683
2114|1683|309
2104|1683|309
2100|1683|309
2088|309|1683
2112|1683|309
2134|1683|309
2102|1683|309
2138|1683|309
2126|309|1683
2150|1683|309
2124|309|1683
2116|1683|309
2122|309|1683
2158|1683|309
2128|309|1683
2140|1683|309
2146|1683|309
2170|1683|309
2152|1683|309
2136|1683|309
2174|1683|309
2148|1683|309
2164|1683|309
2160|1683|309
2172|1683|309
2162|1683|309
2186|1683|309
2184|1683|309
2210|1757|1607
2176|1683|309
2182|1683|309
2188|1683|309
2230|1731|1501
2234|2009|441
2208|763|379
2226|1357|163
2232|1325|955
2228|1757|1357
2490|2036|2009
2484|2038|461
2486|2036|299
2492|2036|1767
2488|2036|1423
2578|889|2017
2576|2027|2025
2650|2709|1599
2670|2709|1771
2648|2709|1599
2654|2709|1599
2664|2709|1771
2652|2709|1599
2658|2709|1599
2666|2709|1771
2690|2709|1327
2668|2709|1771
2674|2709|1729
2678|2709|1729
2684|2709|1327
2672|2709|1729
2656|2709|1599
2662|2709|1771
2686|2709|1327
2688|2709|1599
2660|2709|1771
2694|2709|1327
2698|1499|1555
2692|2709|1327
2682|2709|1729
2676|2709|1729
2708|2023|2021
2680|2709|1729
2718|169|1559
2700|357|1033
2790|1105|1561
2810|2797|55
2786|17|2021
2788|17|2023
2794|2811|1131
2808|337|1323
2796|2013|165
2866|53|189
2884|1701|655
2882|1499|2015
2904|1007|1965
2898|1155|1695
2894|2893|1557
2892|2013|1447
2902|687|2499
2930|1501|2805
2928|1323|1329
2896|993|1695
2926|309|1157
2912|1695|1103
2948|27|1309
2916|2036|3
2934|727|181
2946|1423|187
2938|1555|191
2932|571|285
2964|989|1003
2968|669|823
2954|55|553
2958|1157|191
2962|559|683
2960|859|169
3004|57|445
3006|21|15
3048|485|173
3050|2811|3005
3064|823|339
3052|1159|2019
3066|107|1707
3062|1703|179
3060|483|173
3156|2489|2797
3194|1129|1655
3206|2029|2013
3246|1345|1707
3264|2789|3261
3268|485|3267
3266|2791|2711
3258|2493|3261
3262|3261|2787
3284|3261|2795
3270|487|991
3260|2711|2793
3256|2809|2989
3286|2713|887
3282|1725|3261
3290|2715|3265
3294|2715|3259
3280|483|2947
3298|2715|3285
3288|2715|3269
3296|2715|3271
3354|1609|1435
3414|3261|457
3410|2515|2633
3412|3261|607
3444|129|612
3466|685|2009
3472|2787|1005
3484|2027|2019
3470|223|1775
3486|2027|2019
3482|2027|2019
3478|2027|2019
3480|2027|2019
3492|2027|2019
3490|2027|2019
3498|3261|625
3496|3261|759
3488|2027|2019
3518|253|1655
3522|483|25
3530|561|189
3520|671|3471
3552|3549|1429
3558|953|3261
3572|3567|1325
3566|3557|3565
3548|685|3287
3570|163|3557
3578|697|3565
3592|621|3261
3586|1309|3567
3568|3565|163
3590|3587|3571
3714|1755|787
3724|1697|973
3716|2489|3413
3754|3261|485
3720|1107|3585
3752|3261|483
3766|3261|613
3756|3261|487
3794|3521|551
3768|3261|1003
3782|435|1307
3796|2036|483
3834|1557|1871
3824|3831|2021
3826|2025|3831
3822|2015|3831
3838|2717|667
3830|3585|823
3828|299|3831
3898|167|247
3934|3523|3785
3900|609|2515
3932|3569|3573
3930|851|665
4132|3473|1703
4128|2507|3835
4314|323|781
4312|323|781
4296|1803|1257
4308|323|781
4318|323|781
4316|323|781
4310|323|781
4434|4433|3769
4432|3721|3065
4436|2895|4433
4438|4433|3151
4474|4456|473
4448|4456|653
4446|1685|4456
4442|4433|3497
4440|4433|3831
4468|4456|1041
4470|4455|2949
4484|4455|2036
4496|4456|1047
4480|1707|4456
4530|2965|2036
4538|4456|2038
4546|2036|1325
4548|2036|2493
4550|2036|1699
4558|612|3931
4566|2809|3571
4540|2038|861
4584|855|677
4634|413|175
4606|2989|612
4618|3063|2797
4632|787|3767
4602|455|1105
4630|787|1731
4638|4635|11
4636|4635|163
4642|413|431
4666|515|563
4640|413|429
4668|3835|3783
4712|1701|3569
4698|887|1697
4734|2963|4639
4704|1049|697
4706|101|775
4708|1699|3573
4710|599|175
4732|2963|4637
4702|3783|973
4718|1301|1041
4700|1695|3587
4722|4721|429
4738|437|445
4744|61|2949
4720|581|411
4766|197|2015
4740|4721|431
4792|4703|599
4782|2021|855
4798|2021|1309
4796|1101|4703
4800|455|4799
4954|309|265
4942|2021|683
4944|2025|683
4974|261|61
4962|1451|329
4976|571|261
4978|2715|201
4964|299|103
4982|189|193
4968|429|1113
4966|103|285
4980|2715|2989
5016|1043|1157
5378|2565|4983
5374|5373|2565
5380|2567|4767
5458|5467|2015
5460|5467|2021
5494|21|15
5462|5467|2025
5464|5467|299
5532|847|4667
5466|5035|3585
5676|65|25
5678|65|25
5696|787|63
5602|549|823
5698|1165|1433
5674|65|25
5672|65|25
5694|787|63
5680|65|25
5692|787|63
5682|65|1433
5700|1165|1433
5684|65|1433
5702|1165|1433
5704|1165|1433
5752|5743|5749
5690|787|63
5686|65|1433
5688|65|1433
5730|11|5727
5750|5743|5747
5728|163|5727
5978|612|163
5976|612|555
5974|612|1561
5972|612|1563
6034|6031|11
5962|612|1565
5964|1555|612
6032|163|6031
5982|612|2515
5966|612|1567
5970|612|1559
5968|1557|612
5990|612|481
6062|1803|3471
6082|787|3721
6396|1161|6387
6394|929|6389
6400|555|6387
6518|6395|3785
6538|6395|3785
6536|6395|3785
6534|6395|3785
6520|6395|3785
6532|6395|3785
6540|6395|3785
6524|6395|3785
6522|6395|3785
6544|993|6389
6542|623|6387
6526|6395|3785
6530|6395|3785
6528|6395|3785
6796|185|863
6668|2893|17
6812|6809|11
6784|333|1599
6810|6809|163
6788|2507|199
7220|7219|163
7222|7219|11
7452|1357|7445
7444|1357|441
7450|955|993
7718|1307|3063
7716|581|3063
7714|1047|3063
7700|5743|5749
7712|59|3063
7720|377|3063
7630|671|7621
7704|885|3063
7722|27|3063
7724|369|3063
7706|889|3063
7814|7809|7811
7816|7809|7631
7710|103|3063
7812|7809|4711
7708|887|3063
8058|612|667
8040|612|973
8004|21|15
8214|8239|729
8218|8237|889
8216|8237|2029
8236|1745|1159
8238|557|1159
8234|561|1159
8220|8237|6401
8232|571|1159
8206|8215|359
8210|4943|1329
8208|8239|689
8398|727|2949
8396|727|2949
8230|563|1159
8394|727|2949
8228|567|1159
8250|8229|6389
8248|8229|6545
8392|727|2949
8500|777|859
8896|3283|2038
8934|8933|8931
8978|4455|995
8952|4455|1787
8884|267|1841
8928|1103|8931
9198|441|411
9200|441|549
9288|5743|5749
9356|7625|11
9308|9331|1309
9286|5743|5747
9306|9331|1105
9330|193|191
9392|9381|7631
9388|9381|667
9390|9383|299
9480|612|9391
9482|612|729
9484|612|681
9486|612|117
10034|511|9381
10022|21|15
10078|29|1421
10076|581|1421
10074|27|1421
10096|191|4733
10072|25|1421
10010|21|15
10114|4455|8695
10512|559|863
10514|559|377
10532|10529|11
10572|21|15
10616|5743|5749
10530|10529|163
10636|7809|201
10642|191|1423
10628|855|955
10702|687|177
10732|612|7711
10734|612|7709
10776|729|1451
10782|103|1453
10730|612|7705
10832|10829|11
10830|10829|163
11178|337|683
11172|167|3471
11174|299|163
11176|681|115
11368|2965|955
11578|283|2991
11580|283|2989
11590|21|15
11676|5743|5749
11746|7709|177
11808|189|955
12446|337|687
13040|309|881
13102|5743|5749
13340|1323|2021
